Date,Open,High,Low,Close ,Adj Close,Volume
6-May-24,13.98,14.02,13.44,13.49,13.49,-
3-May-24,14.51,14.58,13.48,13.49,13.49,-
2-May-24,15.14,16.09,14.6,14.68,14.68,-
1-May-24,15.75,16.22,14.35,15.39,15.39,-
30-Apr-24,14.82,15.9,14.67,15.65,15.65,-
29-Apr-24,15.37,15.42,14.63,14.67,14.67,-
26-Apr-24,15.49,16.06,14.92,15.03,15.03,-
25-Apr-24,16.25,17.55,15.27,15.37,15.37,-
24-Apr-24,15.76,16.38,15.58,15.97,15.97,-
23-Apr-24,16.72,16.76,15.69,15.69,15.69,-
22-Apr-24,18.59,18.72,16.69,16.94,16.94,-
19-Apr-24,21.33,21.36,18.17,18.71,18.71,-
18-Apr-24,17.91,18.37,17.21,18,18,-
17-Apr-24,18.24,19.11,17.54,18.21,18.21,-
16-Apr-24,19.49,19.56,17.64,18.4,18.4,-
15-Apr-24,16.94,19.46,16.26,19.23,19.23,-
12-Apr-24,14.91,19.2,14.91,17.31,17.31,-
11-Apr-24,16.02,17.61,14.91,14.91,14.91,-
10-Apr-24,15.24,16.62,14.59,15.8,15.8,-
9-Apr-24,15.34,16.63,14.94,14.98,14.98,-
8-Apr-24,16.24,16.5,15.11,15.19,15.19,-
5-Apr-24,16.45,16.75,15.53,16.03,16.03,-
4-Apr-24,14.29,16.92,13.74,16.35,16.35,-
3-Apr-24,15,15.18,14.25,14.33,14.33,-
2-Apr-24,13.74,15.43,13.68,14.61,14.61,-
1-Apr-24,13.61,14.15,13.55,13.65,13.65,-
28-Mar-24,12.93,13.1,12.84,13.01,13.01,-
27-Mar-24,13.13,13.34,12.66,12.78,12.78,-
26-Mar-24,13.12,13.43,12.84,13.24,13.24,-
25-Mar-24,13.67,13.67,13.11,13.19,13.19,-
22-Mar-24,12.92,13.15,12.58,13.06,13.06,-
21-Mar-24,12.98,13.08,12.4,12.92,12.92,-
20-Mar-24,13.83,14.17,13.01,13.04,13.04,-
19-Mar-24,14.5,14.86,13.8,13.82,13.82,-
18-Mar-24,14.75,14.85,14.26,14.33,14.33,-
15-Mar-24,14.33,15.53,14.14,14.41,14.41,-
14-Mar-24,13.62,15.33,13.42,14.4,14.4,-
13-Mar-24,13.89,14.04,13.67,13.75,13.75,-
12-Mar-24,14.97,15.2,13.81,13.84,13.84,-
11-Mar-24,15.51,16.04,15.13,15.22,15.22,-
8-Mar-24,14.22,15.53,13.97,14.74,14.74,-
7-Mar-24,14.98,14.98,14.25,14.44,14.44,-
6-Mar-24,14.27,14.93,13.89,14.5,14.5,-
5-Mar-24,13.75,15.1,13.75,14.46,14.46,-
4-Mar-24,13.49,13.58,13.32,13.49,13.49,-
1-Mar-24,13.34,13.66,13.08,13.11,13.11,-
29-Feb-24,14.14,14.15,13.3,13.4,13.4,-
28-Feb-24,13.52,13.9,13.44,13.84,13.84,-
27-Feb-24,13.63,13.75,13.41,13.43,13.43,-
26-Feb-24,14.17,14.2,13.66,13.74,13.74,-
23-Feb-24,14.31,14.31,13.64,13.75,13.75,-
22-Feb-24,14.28,14.64,14.12,14.54,14.54,-
21-Feb-24,15.54,16.12,15.22,15.34,15.34,-
20-Feb-24,15.09,15.91,15.07,15.42,15.42,-
16-Feb-24,13.94,14.71,13.75,14.24,14.24,-
15-Feb-24,14.27,14.64,13.94,14.01,14.01,-
14-Feb-24,15.38,15.47,14.22,14.38,14.38,-
13-Feb-24,13.96,17.94,13.43,15.85,15.85,-
12-Feb-24,13.48,13.94,13.34,13.93,13.93,-
9-Feb-24,12.79,13.01,12.69,12.93,12.93,-
8-Feb-24,12.95,13.17,12.74,12.79,12.79,-
7-Feb-24,13.06,13.13,12.81,12.83,12.83,-
6-Feb-24,13.57,13.78,12.98,13.06,13.06,-
5-Feb-24,14.37,14.53,13.58,13.67,13.67,-
2-Feb-24,13.95,14.23,13.39,13.85,13.85,-
1-Feb-24,14.21,14.63,13.87,13.88,13.88,-
31-Jan-24,13.42,14.61,13.18,14.35,14.35,-
30-Jan-24,13.69,13.74,13.23,13.31,13.31,-
29-Jan-24,13.98,15.35,13.59,13.6,13.6,-
26-Jan-24,13.73,14.1,13.2,13.26,13.26,-
25-Jan-24,13.18,13.58,13.06,13.45,13.45,-
